,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestChampion
Minister Frollo,854.8139534883721,48.39953488372094,17.423953488372096,20.679767441860466,24.878139534883722,757.3955813953488,5.493255813953488,31.631627906976743,50,-908.7741935483871,48.325483870967744,17.357096774193547,21.137096774193548,23.82064516129032,660.8135483870968,4.845806451612904,31.771935483870962,58
Gingeranajones,1557.2,52.245000000000005,20.969,20.971,22.665,717.6310000000001,5.142,31.802,7,-2134.0,56.15857142857143,19.064285714285713,21.132857142857144,23.617142857142856,600.5714285714286,5.450000000000001,30.212857142857143,26
Syz,1663.6,47.82000000000001,17.102999999999998,16.146,14.806000000000001,488.01500000000004,2.393,31.090000000000003,161,-1744.6666666666667,45.76166666666666,22.885,16.286666666666665,14.381666666666666,317.17499999999995,1.9283333333333335,25.810000000000002,51
TheLiskers,2365.5,51.746,22.6055,18.255499999999998,18.372500000000002,579.192,2.918,28.915499999999998,63,-654.6428571428571,46.692142857142855,25.565714285714282,18.544999999999998,19.428571428571427,507.7057142857143,3.1321428571428567,30.120714285714282,22
xRGlenn,3582.2291666666665,57.68666666666667,15.465416666666664,23.992708333333336,25.4075,803.5975,5.199375,28.713125,235,-1725.1904761904761,52.82285714285714,20.185238095238095,22.10333333333333,22.43380952380952,644.0057142857142,5.276190476190476,30.67666666666667,235
Panda Cat life,634.5,43.01416666666666,27.974166666666665,21.225833333333334,22.150000000000002,713.9333333333333,5.894166666666667,31.83666666666667,202,-386.0,52.31642857142857,22.45,23.657857142857143,31.95785714285714,760.5807142857144,5.383571428571429,27.529999999999998,202
LoveMyTactics,3585.45,62.819500000000005,22.537,22.4685,28.408499999999997,817.7054999999999,4.369000000000001,26.955499999999994,117,-996.6666666666666,54.70333333333334,20.859166666666663,21.31083333333333,26.310000000000002,721.5558333333332,4.4383333333333335,30.59,40
TSM Divine,1936.1944444444443,44.014722222222225,23.144166666666667,19.926944444444448,22.271388888888893,678.855,4.751666666666666,30.465,157,-1931.642857142857,39.988571428571426,21.633928571428573,19.709642857142857,20.978928571428575,588.7560714285713,4.565,31.072142857142858,412
LGN Moros,1400.8,61.972,30.610000000000003,20.163999999999998,17.726,480.224,1.6179999999999999,28.82,32,-2368.8333333333335,42.51833333333334,21.495,18.785,16.423333333333336,453.33,1.0683333333333331,31.209999999999997,60
GhostlyOrb,2618.909090909091,53.27181818181819,18.36363636363636,22.39590909090909,31.53227272727272,913.2695454545454,6.8140909090909085,27.391818181818188,112,-152.25,49.735625,20.0875,22.8425,33.025,955.514375,6.186875000000001,33.804375,112
TROLL KIIM,951.741935483871,60.005483870967744,17.76322580645161,17.656129032258068,13.024516129032257,397.8609677419355,0.9722580645161291,29.405161290322585,20,-1220.857142857143,55.58047619047619,18.128571428571426,19.704761904761906,15.631904761904758,369.97476190476186,1.4285714285714284,28.06428571428571,20
coohwhip,762.1,42.61599999999999,20.016000000000002,19.487,20.119,633.5764999999999,5.3725,29.934500000000003,103,-1979.551724137931,44.61137931034483,21.530689655172413,21.061379310344822,23.459655172413793,610.4603448275861,5.642758620689656,29.40965517241379,103
Camelia,-42.666666666666664,45.38333333333333,18.79,16.98,9.266666666666666,332.93666666666667,2.11,34.02333333333333,21,-2966.0,47.5609090909091,18.10272727272727,17.70090909090909,12.023636363636363,264.43181818181813,1.9809090909090907,28.94909090909091,48
