,WinGoldDiff,WinKP,WinDP,WinGoldShare,WinDmgShare,WinDmgRate,WinCSRate,WinTime,WinningestChampion,LoseGoldDiff,LoseKP,LoseDP,LoseGoldShare,LoseDmgShare,LoseDmgRate,LoseCSRate,LoseTime,LosingestChampion
Katacomb,2753.7727272727275,55.76545454545454,28.971818181818183,23.358636363636364,31.775,954.6545454545453,5.441818181818181,27.60909090909091,55,-1732.608695652174,50.39739130434783,24.950434782608696,20.943043478260872,22.81913043478261,589.4447826086956,4.367826086956522,29.438260869565216,55
RealBardOTP,3089.0,54.05375,21.947499999999998,23.091250000000002,27.81625,904.3399999999999,5.907500000000001,31.838749999999997,13,635.75,58.7975,18.66375,24.151249999999997,26.924999999999997,667.39125,3.635,33.3925,3
samsoccer10,1066.5454545454545,50.49454545454545,14.784545454545453,15.372727272727273,10.726363636363637,323.9372727272727,1.5363636363636362,30.347272727272728,53,-2714.6666666666665,48.971333333333334,20.207333333333334,15.500666666666666,12.356666666666666,285.40333333333336,1.9946666666666664,27.91333333333333,53
Kats Shadow,1224.7142857142858,51.88428571428572,20.201428571428572,14.737142857142857,10.89,315.9214285714285,1.2771428571428574,32.839999999999996,16,-1461.111111111111,62.276250000000005,19.854444444444443,18.16111111111111,19.726666666666667,450.07,2.2911111111111113,30.874444444444446,40
Aria Ariam,367.2857142857143,52.49,19.25714285714286,13.717142857142859,7.241428571428571,214.73714285714283,0.6614285714285714,31.74857142857143,267,-2138.5714285714284,59.69285714285714,20.68,14.342857142857143,8.614285714285716,198.24714285714282,0.7714285714285715,29.09428571428571,267
Not Trustable,2029.3529411764705,48.39823529411765,11.595882352941176,20.164705882352937,15.708823529411765,460.10470588235296,1.4264705882352942,29.627058823529413,62,-1073.6363636363637,54.85727272727272,12.404545454545454,21.99909090909091,19.169999999999998,473.91818181818184,1.6881818181818178,29.464545454545455,106
Junkyard,2126.6774193548385,51.663548387096775,17.951935483870972,22.358387096774198,22.870967741935488,685.9774193548386,6.5358064516129035,30.392903225806453,51,-1941.1904761904761,48.162857142857135,19.470476190476194,21.870476190476193,22.09952380952381,557.7757142857142,5.876190476190475,31.64761904761904,15
a snack,3407.3571428571427,45.505714285714284,15.579642857142858,23.15,25.97392857142857,774.1489285714288,6.033928571428571,29.273571428571433,122,-398.32,39.077200000000005,17.2228,21.7376,21.9392,531.8928000000001,6.0232,28.472399999999997,122
Butternutz7,3226.0,56.21666666666666,19.996060606060606,23.970000000000002,25.967272727272725,798.5824242424243,3.071818181818182,31.306666666666665,254,-494.58620689655174,58.462068965517226,19.17793103448276,24.1851724137931,26.448275862068964,678.5313793103448,3.7934482758620685,30.49758620689655,51
Big Daddy Donger,2241.4285714285716,48.17285714285714,18.267142857142858,16.580000000000002,18.905714285714282,547.5485714285714,2.7685714285714282,26.745714285714286,518,-1660.923076923077,43.20615384615385,24.09,18.53076923076923,22.015384615384615,599.6038461538462,3.6023076923076927,28.823076923076922,81
WWWWWWWWWWWWWWRW,1394.0,46.71846153846153,16.586153846153845,21.73730769230769,19.801538461538463,593.7288461538462,6.1111538461538455,31.36307692307692,145,-1792.4285714285713,48.73904761904762,18.63,22.274761904761903,21.423809523809524,534.1338095238095,5.89952380952381,29.029523809523806,145
Pangnam,1352.7826086956522,41.15782608695652,29.716086956521735,21.07695652173913,21.878695652173914,696.0204347826087,3.930434782608696,28.288260869565217,11,-1360.5833333333333,46.736250000000005,23.145416666666666,22.239166666666666,23.442916666666665,607.8779166666667,3.175416666666667,28.7375,11
BarrierIgniteMan,2751.6285714285714,42.53,28.89542857142857,23.832571428571427,27.047142857142855,822.7640000000001,7.137714285714286,27.27257142857143,39,1365.0,50.312105263157896,20.913684210526313,26.154736842105265,28.056315789473683,747.4889473684211,7.16421052631579,30.57842105263158,39
SadistJin,1411.3225806451612,43.400645161290335,23.623548387096776,20.293870967741935,19.321935483870977,605.0470967741936,5.389354838709678,29.593870967741935,122,-1126.5333333333333,42.077999999999996,19.65733333333333,20.977333333333334,19.085333333333338,479.8980000000001,5.373333333333334,30.858666666666668,122
BBQChicken21,1142.076923076923,49.50461538461539,17.67076923076923,18.85923076923077,20.86230769230769,603.8807692307693,3.4438461538461533,27.676923076923075,43,-2462.56,44.2016,18.465999999999998,19.1852,21.698800000000002,598.496,3.7812000000000006,31.956,43
Leap,3035.0,53.682352941176475,22.65558823529412,22.845882352941178,24.84029411764706,799.5149999999999,3.3158823529411765,29.25823529411765,11,-1580.909090909091,55.92939393939394,18.802424242424244,22.432727272727274,22.0169696969697,579.5309090909092,3.3457575757575753,27.923939393939396,11
Enjoy the Carey,3867.0,58.50214285714285,20.33119047619048,24.14714285714286,31.803809523809523,1066.3604761904762,6.152857142857143,30.06047619047619,202,-137.27777777777777,53.70333333333335,21.81277777777778,24.104166666666664,30.165277777777785,873.1558333333335,5.936111111111112,30.088333333333328,202
ßorb,1653.25,43.55000000000001,19.226666666666667,19.73,16.28333333333333,517.8483333333332,2.5849999999999995,31.234166666666667,77,-1539.1666666666667,58.655833333333334,20.94583333333333,21.997500000000002,25.08583333333333,596.7166666666667,3.5566666666666666,29.974166666666672,77
Ruff034,229.0,37.4,15.968333333333334,19.248333333333335,16.031666666666666,456.04333333333335,6.006666666666667,29.86833333333334,21,-1892.5,39.330714285714286,16.12,21.335714285714285,17.568571428571428,359.42214285714283,6.265714285714287,25.770714285714284,202
uberrundownmid,1786.4285714285713,52.61714285714286,17.63285714285714,21.01928571428571,24.812142857142856,797.6728571428572,3.6278571428571427,28.470714285714287,75,-3304.9,45.335,21.608,19.384,22.284,569.8109999999999,3.5149999999999997,28.753000000000004,235
Thegrrrr8,702.2857142857143,47.35285714285715,17.16333333333333,19.983809523809523,19.52047619047619,614.7642857142857,4.923809523809524,28.00047619047619,429,-2473.866666666667,50.34733333333332,17.796666666666667,20.291999999999998,22.410000000000004,598.7413333333334,4.725999999999999,29.692,429
Morphier,1336.235294117647,54.63705882352941,17.895588235294124,20.499117647058824,23.025000000000002,713.7288235294118,4.734117647058823,30.159411764705883,4,-459.7647058823529,52.56588235294117,20.64,21.83529411764706,23.391764705882355,581.5899999999999,4.934117647058823,29.754117647058823,4
